1, 0, 200, 0.04841, 4.29552, -0.632483, 0.00289748
1, 1, 200, 0.0163934, 5.76135, -0.733841, 0.0285795
1, 2, 200, 0.04, 4.2621, -0.632253, 0.0623583
1, 3, 200, -nan, 0.387356, -nan, 0.700395
1, 4, 200, -nan, 3.3395, -nan, 0.216057
1, 5, 200, 0.125, 4.6887, -0.83121, 0.284738
1, 6, 200, -nan, -nan, -nan, -nan
1, 7, 200, -nan, -nan, -nan, -nan
1, 8, 200, -nan, -nan, -nan, -nan
1, 9, 200, -nan, 1.28843, -nan, 0.91348
1, 10, 200, -nan, 0.781981, -nan, 0.527405
1, 11, 200, -nan, -nan, -nan, -nan
1, 12, 200, 0.0625, 4.59991, -0.832238, 0.241095
1, 13, 200, -nan, 0.487584, -nan, 0.387299
1, 14, 200, 0.333333, 12.6423, -0.496483, 0.596118
1, 15, 200, -nan, -nan, -nan, -nan
1, 16, 200, 0.125, 5.41027, -0.832801, 0.231031
1, 17, 200, -nan, -nan, -nan, -nan
1, 18, 200, -nan, -nan, -nan, -nan
1, 19, 200, 0.125, 0.702168, -0.878119, -0.471403
1, 20, 200, -nan, -nan, -nan, -nan
1, 21, 200, -nan, -nan, -nan, -nan
1, 22, 200, -nan, -nan, -nan, -nan
1, 23, 200, -nan, 0.38461, -nan, -0.599258
1, 24, 200, -nan, -nan, -nan, -nan
1, 25, 200, -nan, -nan, -nan, -nan
1, 26, 200, 0.125, 8.35451, -0.847653, 0.396363
1, 27, 200, -nan, -nan, -nan, -nan
1, 28, 200, 0.125, 8.75949, -0.820497, 0.421196
1, 29, 200, -nan, -nan, -nan, -nan
1, 30, 200, -nan, -nan, -nan, -nan
1, 31, 200, -nan, -nan, -nan, -nan
1, 32, 200, -nan, -nan, -nan, -nan
1, 33, 200, -nan, -nan, -nan, -nan
1, 34, 200, -nan, -nan, -nan, -nan
1, 35, 200, -nan, -nan, -nan, -nan
1, 36, 200, -nan, -nan, -nan, -nan
1, 37, 200, -nan, -nan, -nan, -nan
1, 38, 200, -nan, -nan, -nan, -nan
1, 39, 200, -nan, -nan, -nan, -nan
2, 40, 200, -nan, -nan, -nan, -nan
2, 41, 200, -nan, -nan, -nan, -nan
2, 42, 200, -nan, -nan, -nan, -nan
2, 43, 200, -nan, 0.580313, -nan, -0.794986
2, 44, 200, -nan, -nan, -nan, -nan
2, 45, 200, -nan, -nan, -nan, -nan
2, 46, 200, -nan, -nan, -nan, -nan
2, 47, 200, 0.125, 6.42148, -0.844698, 0.247416
2, 48, 200, 0.125, 6.02648, -0.82935, 0.370303
2, 49, 200, -nan, -nan, -nan, -nan
2, 50, 200, -nan, -nan, -nan, -nan
2, 51, 200, -nan, -nan, -nan, -nan
2, 52, 200, -nan, -nan, -nan, -nan
2, 53, 200, -nan, -nan, -nan, -nan
2, 54, 200, -nan, -nan, -nan, -nan
2, 55, 200, -nan, -nan, -nan, -nan
2, 56, 200, -nan, -nan, -nan, -nan
2, 57, 200, -nan, -nan, -nan, -nan
2, 58, 200, -nan, -nan, -nan, -nan
2, 59, 200, -nan, -nan, -nan, -nan
2, 60, 200, -nan, -nan, -nan, -nan
2, 61, 200, -nan, -nan, -nan, -nan
2, 62, 200, -nan, -nan, -nan, -nan
2, 63, 200, -nan, -nan, -nan, -nan
2, 64, 200, -nan, -nan, -nan, -nan
2, 65, 200, 0.125, 0.726953, -0.884013, -0.894892
2, 66, 200, -nan, -nan, -nan, -nan
2, 67, 200, -nan, -nan, -nan, -nan
2, 68, 200, -nan, -nan, -nan, -nan
2, 69, 200, -nan, -nan, -nan, -nan
2, 70, 200, -nan, -nan, -nan, -nan
2, 71, 200, -nan, -nan, -nan, -nan
2, 72, 200, -nan, -nan, -nan, -nan
2, 73, 200, -nan, -nan, -nan, -nan
2, 74, 200, -nan, -nan, -nan, -nan
2, 75, 200, -nan, -nan, -nan, -nan
2, 76, 200, -nan, -nan, -nan, -nan
2, 77, 200, -nan, -nan, -nan, -nan
2, 78, 200, -nan, -nan, -nan, -nan
2, 79, 200, -nan, -nan, -nan, -nan
3, 80, 200, -nan, -nan, -nan, -nan
3, 81, 200, -nan, -nan, -nan, -nan
3, 82, 200, -nan, -nan, -nan, -nan
3, 83, 200, -nan, -nan, -nan, -nan
3, 84, 200, -nan, -nan, -nan, -nan
3, 85, 200, -nan, 1.4628, -nan, 0.861192
3, 86, 200, -nan, -nan, -nan, -nan
3, 87, 200, -nan, -nan, -nan, -nan
3, 88, 200, -nan, -nan, -nan, -nan
3, 89, 200, -nan, -nan, -nan, -nan
3, 90, 200, -nan, -nan, -nan, -nan
3, 91, 200, -nan, -nan, -nan, -nan
3, 92, 200, -nan, -nan, -nan, -nan
3, 93, 200, -nan, -nan, -nan, -nan
3, 94, 200, -nan, -nan, -nan, -nan
3, 95, 200, 0.125, 0.962777, -0.920986, 0.160106
3, 96, 200, -nan, -nan, -nan, -nan
3, 97, 200, -nan, -nan, -nan, -nan
3, 98, 200, -nan, 0.438179, -nan, 0.747769
3, 99, 200, -nan, 0.277334, -nan, -0.107983
3, 100, 200, -nan, -nan, -nan, -nan
3, 101, 200, -nan, 0.424833, -nan, 0.570511
3, 102, 200, -nan, 3.26964, -nan, 0.377192
3, 103, 200, -nan, -nan, -nan, -nan
3, 104, 200, -nan, -nan, -nan, -nan
3, 105, 200, -nan, -nan, -nan, -nan
3, 106, 200, -nan, -nan, -nan, -nan
3, 107, 200, -nan, -nan, -nan, -nan
3, 108, 200, -nan, -nan, -nan, -nan
3, 109, 200, -nan, -nan, -nan, -nan
3, 110, 200, -nan, 0.574221, -nan, 0.025099
3, 111, 200, -nan, -nan, -nan, -nan
3, 112, 200, -nan, -nan, -nan, -nan
3, 113, 200, -nan, -nan, -nan, -nan
3, 114, 200, -nan, -nan, -nan, -nan
3, 115, 200, -nan, -nan, -nan, -nan
3, 116, 200, -nan, 0.466718, -nan, -0.667746
3, 117, 200, 0.125, 0.697039, -0.859659, -0.437967
3, 118, 200, -nan, -nan, -nan, -nan
3, 119, 200, -nan, -nan, -nan, -nan
4, 120, 200, -nan, -nan, -nan, -nan
