1, 0, 0, 0, 0, 41000, -nan, -nan, -nan, 0.000207379
1, 1, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00029705
1, 2, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000768496
1, 3, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000678556
1, 4, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000542181
1, 5, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000780892
1, 6, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00108525
1, 7, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00133807
1, 8, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00133237
1, 9, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00152318
1, 10, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00159217
1, 11, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00154659
1, 12, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00152406
1, 13, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000694049
1, 14, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00070197
1, 15, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000693733
1, 16, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000752092
1, 17, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000760159
1, 18, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000688184
1, 19, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000682569
1, 20, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00066643
1, 21, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000673095
1, 22, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000675568
1, 23, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000676096
1, 24, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000687163
1, 25, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000657625
1, 26, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000658503
1, 27, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000644994
1, 28, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000864654
1, 29, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00199391
1, 30, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00217172
1, 31, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00204166
1, 32, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00217332
1, 33, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00235236
1, 34, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00201193
1, 35, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00201488
1, 36, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00203997
1, 37, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00222225
1, 38, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00235074
1, 39, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00237515
2, 40, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00254214
2, 41, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00253773
2, 42, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00251396
2, 43, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00263774
2, 44, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00289621
2, 45, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00284858
2, 46, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00286083
2, 47, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00284302
2, 48, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00284195
2, 49, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00282429
2, 50, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0028331
2, 51, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00286621
2, 52, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00298481
2, 53, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00301159
2, 54, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00298753
2, 55, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00294244
2, 56, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00293863
