1, 0, 200, 85702.4, 62676, 0, 0, 0, 0, 0, 0, 85702.4, 62676
1, 1, 200, 50909.2, 53268.6, 0, 0, 0, 0, 0, 0, 50909.2, 53268.6
1, 2, 200, 56883.7, 72869.9, 0, 0, 0, 0, 0, 0, 56883.7, 72869.9
1, 3, 200, 25761.4, 18536.6, 0, 0, 0, 0, 0, 0, 25761.4, 18536.6
1, 4, 200, 16219.6, 7843.13, 0, 0, 0, 0, 0, 0, 16219.6, 7843.13
1, 5, 200, 9389.14, 9564.32, 0, 0, 0, 0, 0, 0, 9389.14, 9564.32
1, 6, 200, 16427.3, 8417.26, 0, 0, 0, 0, 0, 0, 16427.3, 8417.26
1, 7, 200, 18130.7, 9499.15, 0, 0, 0, 0, 0, 0, 18130.7, 9499.15
1, 8, 200, -nan, 6453.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6453.51
1, 9, 200, 13104.9, 6243.92, 0, 0, 0, 0, 0, 0, 13104.9, 6243.92
1, 10, 200, 747.784, 5305.73, 0, 0, 0, 0, 0, 0, 747.784, 5305.73
1, 11, 200, -nan, 6127.81, -nan, 0, -nan, 0, -nan, 0, -nan, 6127.81
1, 12, 200, -nan, 6791.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6791.92
1, 13, 200, 52609.4, 8758, 0, 0, 0, 0, 0, 0, 52609.4, 8758
1, 14, 200, -nan, 4713.09, -nan, 0, -nan, 0, -nan, 0, -nan, 4713.09
1, 15, 200, -nan, 4658.98, -nan, 0, -nan, 0, -nan, 0, -nan, 4658.98
1, 16, 200, 764.481, 5395.47, 0, 0, 0, 0, 0, 0, 764.481, 5395.47
1, 17, 200, -nan, 4984.34, -nan, 0, -nan, 0, -nan, 0, -nan, 4984.34
1, 18, 200, -nan, 6089.63, -nan, 0, -nan, 0, -nan, 0, -nan, 6089.63
1, 19, 200, -nan, 4549.51, -nan, 0, -nan, 0, -nan, 0, -nan, 4549.51
1, 20, 200, -nan, 4695.25, -nan, 0, -nan, 0, -nan, 0, -nan, 4695.25
1, 21, 200, -nan, 4935.2, -nan, 0, -nan, 0, -nan, 0, -nan, 4935.2
1, 22, 200, -nan, 4842.54, -nan, 0, -nan, 0, -nan, 0, -nan, 4842.54
1, 23, 200, -nan, 4520.94, -nan, 0, -nan, 0, -nan, 0, -nan, 4520.94
1, 24, 200, -nan, 5136.55, -nan, 0, -nan, 0, -nan, 0, -nan, 5136.55
1, 25, 200, -nan, 6095.79, -nan, 0, -nan, 0, -nan, 0, -nan, 6095.79
1, 26, 200, -nan, 4580.05, -nan, 0, -nan, 0, -nan, 0, -nan, 4580.05
1, 27, 200, -nan, 4942.12, -nan, 0, -nan, 0, -nan, 0, -nan, 4942.12
1, 28, 200, 21389.2, 6943.01, 0, 0, 0, 0, 0, 0, 21389.2, 6943.01
1, 29, 200, 21299.6, 7032.38, 0, 0, 0, 0, 0, 0, 21299.6, 7032.38
1, 30, 200, 15504.6, 6710.26, 0, 0, 0, 0, 0, 0, 15504.6, 6710.26
1, 31, 200, 10775.7, 6383.69, 0, 0, 0, 0, 0, 0, 10775.7, 6383.69
1, 32, 200, 15621.7, 5469.62, 0, 0, 0, 0, 0, 0, 15621.7, 5469.62
1, 33, 200, 14430.4, 5432.86, 0, 0, 0, 0, 0, 0, 14430.4, 5432.86
1, 34, 200, 22733, 4984.61, 0, 0, 0, 0, 0, 0, 22733, 4984.61
1, 35, 200, -nan, 5389.63, -nan, 0, -nan, 0, -nan, 0, -nan, 5389.63
1, 36, 200, 8888.34, 5306.06, 0, 0, 0, 0, 0, 0, 8888.34, 5306.06
1, 37, 200, 15825.4, 5879.97, 0, 0, 0, 0, 0, 0, 15825.4, 5879.97
1, 38, 200, 13771.3, 5208.25, 0, 0, 0, 0, 0, 0, 13771.3, 5208.25
1, 39, 200, -nan, 5146.01, -nan, 0, -nan, 0, -nan, 0, -nan, 5146.01
2, 40, 200, 12207.4, 4657.98, 0, 0, 0, 0, 0, 0, 12207.4, 4657.98
2, 41, 200, -nan, 5035, -nan, 0, -nan, 0, -nan, 0, -nan, 5035
2, 42, 200, -nan, 4912.82, -nan, 0, -nan, 0, -nan, 0, -nan, 4912.82
2, 43, 200, 13917.1, 4926.9, 0, 0, 0, 0, 0, 0, 13917.1, 4926.9
2, 44, 200, 16037.7, 5382.18, 0, 0, 0, 0, 0, 0, 16037.7, 5382.18
2, 45, 200, -nan, 5309.65, -nan, 0, -nan, 0, -nan, 0, -nan, 5309.65
2, 46, 200, -nan, 5013.62, -nan, 0, -nan, 0, -nan, 0, -nan, 5013.62
2, 47, 200, -nan, 5261.34, -nan, 0, -nan, 0, -nan, 0, -nan, 5261.34
2, 48, 200, -nan, 5482.25, -nan, 0, -nan, 0, -nan, 0, -nan, 5482.25
2, 49, 200, -nan, 5108.78, -nan, 0, -nan, 0, -nan, 0, -nan, 5108.78
2, 50, 200, -nan, 4746.34, -nan, 0, -nan, 0, -nan, 0, -nan, 4746.34
2, 51, 200, -nan, 4791.04, -nan, 0, -nan, 0, -nan, 0, -nan, 4791.04
2, 52, 200, 12437.1, 5659.28, 0, 0, 0, 0, 0, 0, 12437.1, 5659.28
2, 53, 200, -nan, 4897.84, -nan, 0, -nan, 0, -nan, 0, -nan, 4897.84
2, 54, 200, -nan, 5117.85, -nan, 0, -nan, 0, -nan, 0, -nan, 5117.85
2, 55, 200, -nan, 4877.72, -nan, 0, -nan, 0, -nan, 0, -nan, 4877.72
2, 56, 200, -nan, 5094.47, -nan, 0, -nan, 0, -nan, 0, -nan, 5094.47
2, 57, 200, -nan, 5160.09, -nan, 0, -nan, 0, -nan, 0, -nan, 5160.09
2, 58, 200, 24384.8, 5193.72, 0, 0, 0, 0, 0, 0, 24384.8, 5193.72
2, 59, 200, -nan, 4786.2, -nan, 0, -nan, 0, -nan, 0, -nan, 4786.2
2, 60, 200, -nan, 4735.79, -nan, 0, -nan, 0, -nan, 0, -nan, 4735.79
2, 61, 200, -nan, 4996.21, -nan, 0, -nan, 0, -nan, 0, -nan, 4996.21
2, 62, 200, -nan, 4999.38, -nan, 0, -nan, 0, -nan, 0, -nan, 4999.38
2, 63, 200, -nan, 5462.03, -nan, 0, -nan, 0, -nan, 0, -nan, 5462.03
2, 64, 200, 22995.3, 5992.89, 0, 0, 0, 0, 0, 0, 22995.3, 5992.89
2, 65, 200, -nan, 5929.2, -nan, 0, -nan, 0, -nan, 0, -nan, 5929.2
2, 66, 200, 12624.9, 5587.07, 0, 0, 0, 0, 0, 0, 12624.9, 5587.07
2, 67, 200, -nan, 5713.91, -nan, 0, -nan, 0, -nan, 0, -nan, 5713.91
2, 68, 200, 9134.15, 5469.29, 0, 0, 0, 0, 0, 0, 9134.15, 5469.29
2, 69, 200, -nan, 5571.59, -nan, 0, -nan, 0, -nan, 0, -nan, 5571.59
2, 70, 200, -nan, 5138.42, -nan, 0, -nan, 0, -nan, 0, -nan, 5138.42
2, 71, 200, -nan, 5680.8, -nan, 0, -nan, 0, -nan, 0, -nan, 5680.8
2, 72, 200, -nan, 5027.6, -nan, 0, -nan, 0, -nan, 0, -nan, 5027.6
2, 73, 200, -nan, 5627.32, -nan, 0, -nan, 0, -nan, 0, -nan, 5627.32
2, 74, 200, 17828.7, 8138.81, 0, 0, 0, 0, 0, 0, 17828.7, 8138.81
2, 75, 200, -nan, 6010.17, -nan, 0, -nan, 0, -nan, 0, -nan, 6010.17
2, 76, 200, -nan, 6021.48, -nan, 0, -nan, 0, -nan, 0, -nan, 6021.48
2, 77, 200, -nan, 5728.54, -nan, 0, -nan, 0, -nan, 0, -nan, 5728.54
2, 78, 200, -nan, 5332.58, -nan, 0, -nan, 0, -nan, 0, -nan, 5332.58
2, 79, 200, -nan, 6128.7, -nan, 0, -nan, 0, -nan, 0, -nan, 6128.7
3, 80, 200, -nan, 5286.02, -nan, 0, -nan, 0, -nan, 0, -nan, 5286.02
3, 81, 200, -nan, 5526.87, -nan, 0, -nan, 0, -nan, 0, -nan, 5526.87
3, 82, 200, -nan, 5664.35, -nan, 0, -nan, 0, -nan, 0, -nan, 5664.35
3, 83, 200, -nan, 5843.78, -nan, 0, -nan, 0, -nan, 0, -nan, 5843.78
3, 84, 200, -nan, 6561.16, -nan, 0, -nan, 0, -nan, 0, -nan, 6561.16
3, 85, 200, -nan, 6024.32, -nan, 0, -nan, 0, -nan, 0, -nan, 6024.32
