1, 0, 200, 37573, 43932.5, 2153.41, 844.335, 5539.06, 5145.63, 5136.11, 2051.53, 35112.6, 41789.5
1, 1, 200, 22563.4, 47148.9, 745.804, 307.163, 2371.35, 4371.39, 2726.43, 975.14, 21310.4, 46307
1, 2, 200, 33402, 31714.2, 444.388, 720.257, 3278.74, 2731.16, 2459.37, 2732.64, 32185.2, 29733
1, 3, 200, -nan, 2356.19, -nan, 0, -nan, 1969.79, -nan, 1004.17, -nan, 814.379
1, 4, 200, -nan, 19555.9, -nan, 0, -nan, 757.376, -nan, 451.937, -nan, 19269
1, 5, 200, 41805.4, 57502.6, 767.628, 223.161, 2341.72, 2566.79, 2323.3, 810.347, 41519.6, 57164.8
1, 6, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 7, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 8, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 9, 200, -nan, 4463.24, -nan, 0, -nan, 0, -nan, 0, -nan, 4463.24
1, 10, 200, -nan, 3317.66, -nan, 0, -nan, 0, -nan, 1000, -nan, 3163.37
1, 11, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 12, 200, 8108.13, 34852.8, 136.658, 223.161, 312.598, 3728.67, 980.675, 312.983, 7729.02, 34147.1
1, 13, 200, -nan, 1689.04, -nan, 0, -nan, 0, -nan, 668.856, -nan, 1550.96
1, 14, 200, 44295.1, 112367, 0, 0, 0, 6000, 2684.65, 0, 44157.2, 112207
1, 15, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 16, 200, 19020.7, 40486.8, 0, 0, 922.649, 5567.76, 1310.38, 2645.75, 18875.8, 40014.7
1, 17, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 18, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 19, 200, 10819.3, 4657.65, 0, 0, 1015.13, 3872.98, 1998.1, 1203.07, 10483.9, 2290.5
1, 20, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 21, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 22, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 23, 200, -nan, 1585.79, -nan, 0, -nan, 0, -nan, 1032.37, -nan, 1203.72
1, 24, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 25, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 26, 200, 14774.1, 65250.8, 0, 0, 1262.22, 5744.56, 995.277, 1732.05, 14599.7, 64974.4
1, 27, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 28, 200, 18399.9, 63770.1, 0, 1414.21, 871.552, 5196.15, 809.522, 1000, 18310.4, 63534.4
1, 29, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 30, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 31, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 32, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 33, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 34, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 35, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 36, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 37, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 38, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 39, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 40, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 41, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 42, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 43, 200, -nan, 2247.54, -nan, 0, -nan, 0, -nan, 1624.23, -nan, 1553.48
2, 44, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 45, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 46, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 47, 200, 1086.49, 35520.5, 255.663, 0, 667.565, 612.503, 704.319, 792.124, 366.665, 35238
2, 48, 200, 37367.5, 77645.8, 692.348, 1000, 2083.46, 4918.96, 2026.79, 1000, 37116.1, 77476.9
2, 49, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 50, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 51, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 52, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 53, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 54, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 55, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 56, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 57, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 58, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 59, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
