1, 0, 200, 0.00757576, 5.37252, -0.604268, 0.00776442
1, 1, 200, 0.0625, 1.24194, -0.805957, 0.0219528
1, 2, 200, 0.0454545, 1.01985, -0.784981, 0.0217112
1, 3, 200, 0.037037, 1.48361, -0.718403, 0.0164564
1, 4, 200, 0.0625, 0.909158, -0.821601, 0.0135051
1, 5, 200, 0.04, 0.945126, -0.767272, 0.010307
1, 6, 200, 0.0625, 0.891323, -0.821356, 0.00948008
1, 7, 200, 0.125, 0.775519, -0.845056, 0.00908139
1, 8, 200, -nan, 0.708843, -nan, 0.00502265
1, 9, 200, 0.2, 0.757831, -0.688669, 0.0113487
1, 10, 200, -nan, 0.803852, -nan, 0.0110687
1, 11, 200, -nan, 0.838275, -nan, 0.0117367
1, 12, 200, -nan, 0.709042, -nan, 0.00693476
1, 13, 200, -nan, 0.66278, -nan, 0.00832252
1, 14, 200, -nan, 0.744477, -nan, 0.00945933
1, 15, 200, -nan, 0.714936, -nan, 0.00890836
1, 16, 200, 0.125, 0.78233, -0.810687, 0.0112331
1, 17, 200, -nan, 0.711678, -nan, 0.00742567
1, 18, 200, -nan, 0.679883, -nan, 0.0108625
1, 19, 200, -nan, 0.749823, -nan, 0.0100788
1, 20, 200, 0.125, 0.783619, -0.788249, 0.00761775
1, 21, 200, 0.125, 0.704898, -0.799742, 0.0103933
1, 22, 200, -nan, 0.696235, -nan, 0.00850168
1, 23, 200, 0.125, 0.722917, -0.801511, 0.00597896
1, 24, 200, -nan, 0.672642, -nan, 0.0105093
1, 25, 200, -nan, 0.715497, -nan, 0.0108184
1, 26, 200, -nan, 0.71648, -nan, 0.00907229
1, 27, 200, 0.125, 0.748108, -0.812796, 0.0094299
1, 28, 200, -nan, 0.65486, -nan, 0.0123443
1, 29, 200, -nan, 0.671151, -nan, -7.64361e-05
1, 30, 200, -nan, 0.665789, -nan, 0.0101
1, 31, 200, 0.125, 0.734627, -0.810163, 0.00851686
1, 32, 200, -nan, 0.699644, -nan, 0.00987131
1, 33, 200, -nan, 0.607708, -nan, 0.0118758
1, 34, 200, 0.125, 0.715118, -0.809671, 0.0094213
1, 35, 200, -nan, 0.672457, -nan, 0.0126516
1, 36, 200, -nan, 0.676865, -nan, 0.00908607
1, 37, 200, -nan, 0.640415, -nan, 0.0114901
1, 38, 200, -nan, 0.705324, -nan, 0.00843814
1, 39, 200, -nan, 0.766907, -nan, 0.010186
2, 40, 200, -nan, 0.683706, -nan, 0.00946717
2, 41, 200, -nan, 0.698136, -nan, 0.00892262
2, 42, 200, -nan, 0.733587, -nan, 0.00770226
2, 43, 200, -nan, 0.609968, -nan, 0.00925888
2, 44, 200, -nan, 0.721153, -nan, 0.00535606
2, 45, 200, -nan, 0.781721, -nan, 0.00908207
2, 46, 200, 0.125, 0.62495, -0.813027, 0.00892361
2, 47, 200, -nan, 0.709121, -nan, 0.00624318
2, 48, 200, -nan, 0.72025, -nan, 0.0107356
2, 49, 200, 0.125, 0.667387, -0.817571, 0.0107286
2, 50, 200, 0.125, 0.707967, -0.810767, 0.00887874
2, 51, 200, -nan, 0.712888, -nan, 0.0107256
2, 52, 200, -nan, 0.702777, -nan, 0.012044
2, 53, 200, 0.142857, 0.723287, -0.790625, 0.00632348
2, 54, 200, 0.0625, 0.683389, -0.82917, 0.00952168
2, 55, 200, 0.125, 0.692932, -0.828358, 0.00934178
2, 56, 200, -nan, 0.55762, -nan, 0.00933561
2, 57, 200, -nan, 0.764553, -nan, 0.00969811
2, 58, 200, -nan, 0.647591, -nan, 0.00933363
2, 59, 200, -nan, 0.715522, -nan, 0.00727729
2, 60, 200, -nan, 0.665209, -nan, 0.00999123
2, 61, 200, -nan, 0.642885, -nan, 0.00696731
2, 62, 200, 0.125, 0.82989, -0.80771, 0.00771968
2, 63, 200, 0.0625, 0.742537, -0.799952, 0.0103912
2, 64, 200, -nan, 0.687352, -nan, 0.00960459
2, 65, 200, -nan, 0.702176, -nan, 0.00474918
2, 66, 200, -nan, 0.714336, -nan, 0.00943048
2, 67, 200, -nan, 0.706771, -nan, 0.0110824
2, 68, 200, 0.125, 0.626675, -0.80356, 0.0100975
2, 69, 200, -nan, 0.69086, -nan, 0.0120373
2, 70, 200, -nan, 0.702358, -nan, 0.00891577
2, 71, 200, -nan, 0.650298, -nan, 0.0058977
2, 72, 200, -nan, 0.624051, -nan, 0.010298
2, 73, 200, -nan, 0.69448, -nan, 0.00437788
2, 74, 200, -nan, 0.692734, -nan, 0.00469599
2, 75, 200, -nan, 0.748697, -nan, 0.00803207
2, 76, 200, -nan, 0.652316, -nan, 0.0099959
2, 77, 200, 0.125, 0.706609, -0.81827, 0.000796211
2, 78, 200, 0.0625, 0.718762, -0.832459, 0.0117632
2, 79, 200, 0.0625, 0.716196, -0.841738, 0.00998329
3, 80, 200, -nan, 0.746043, -nan, 0.00768771
3, 81, 200, -nan, 0.748922, -nan, 0.00335282
3, 82, 200, -nan, 0.62131, -nan, 0.0102994
3, 83, 200, -nan, 0.632079, -nan, 0.00890049
3, 84, 200, -nan, 0.694598, -nan, 0.0101915
3, 85, 200, 0.125, 0.648999, -0.807304, 0.00841066
3, 86, 200, 0.0416667, 0.64609, -0.807379, 0.0069353
3, 87, 200, -nan, 0.654346, -nan, 0.0085362
3, 88, 200, -nan, 0.663719, -nan, 0.0112216
3, 89, 200, -nan, 0.630852, -nan, 0.00417821
3, 90, 200, -nan, 0.695659, -nan, 0.00992167
3, 91, 200, -nan, 0.637672, -nan, 0.00961093
3, 92, 200, -nan, 0.696669, -nan, 0.00784893
3, 93, 200, -nan, 0.665634, -nan, 0.00799089
3, 94, 200, -nan, 0.774773, -nan, 0.0114853
3, 95, 200, -nan, 0.687597, -nan, 0.00905751
