1, 0, 200, 0.00793651, 4.09227, -0.632507, -0.0145659
1, 1, 200, 0.0204082, 4.26102, -0.815027, 0.0381103
1, 2, 200, 0.0454545, 0.558828, -0.766608, 0.0242939
1, 3, 200, 0.0232558, 4.45785, -0.783336, 0.0474652
1, 4, 200, 0.0105263, 2.77279, -0.739983, 0.00946407
1, 5, 200, 0.0185185, 1.14624, -0.744933, 0.0162674
1, 6, 200, 0.0232558, 0.995823, -0.768557, 0.0175254
1, 7, 200, 0.0294118, 0.949408, -0.750886, 0.0217236
1, 8, 200, 0.05, 0.657292, -0.946698, 0.0220995
1, 9, 200, 0.0333333, 1.00591, -0.841327, 0.00452173
1, 10, 200, 0.037037, 0.714702, -0.801497, 0.0154292
1, 11, 200, -nan, 0.860014, -nan, 0.0130978
1, 12, 200, -nan, 0.724784, -nan, 0.021778
1, 13, 200, 0.125, 0.762176, -0.82945, 0.0144246
1, 14, 200, 0.166667, 0.756044, -0.757672, 0.0163536
1, 15, 200, -nan, 0.655184, -nan, 0.0143535
1, 16, 200, -nan, 0.680595, -nan, 0.0175312
1, 17, 200, 0.125, 0.642812, -0.814635, 0.0255815
1, 18, 200, 0.125, 0.729367, -0.824294, 0.0140633
1, 19, 200, 0.125, 0.655306, -0.843707, 0.0203734
1, 20, 200, -nan, 0.742233, -nan, 0.00945933
1, 21, 200, -nan, 0.596926, -nan, 0.0112054
1, 22, 200, 0.0277778, 1.34538, -0.778583, 0.0133724
1, 23, 200, -nan, 1.05348, -nan, 0.00532872
1, 24, 200, -nan, 0.710186, -nan, 0.00827651
1, 25, 200, -nan, 0.627648, -nan, 0.018174
1, 26, 200, 0.0714286, 0.668646, -0.780148, 0.0136716
1, 27, 200, -nan, 0.742861, -nan, 0.0108193
1, 28, 200, -nan, 0.654753, -nan, 0.00194819
1, 29, 200, -nan, 0.634851, -nan, 0.0207949
1, 30, 200, -nan, 0.781058, -nan, 0.0207739
1, 31, 200, -nan, 0.814197, -nan, 0.0161539
1, 32, 200, 0.125, 0.717139, -0.853621, 0.0128143
1, 33, 200, -nan, 0.645168, -nan, 0.0188226
1, 34, 200, -nan, 0.744145, -nan, 0.0151115
1, 35, 200, -nan, 0.653834, -nan, 0.0227333
1, 36, 200, -nan, 0.78536, -nan, 0.0217184
1, 37, 200, -nan, 0.746829, -nan, 0.00557977
1, 38, 200, -nan, 0.544345, -nan, 0.01308
1, 39, 200, -nan, 0.667167, -nan, 0.0132462
2, 40, 200, -nan, 0.678583, -nan, 0.0191989
2, 41, 200, -nan, 0.670527, -nan, 0.0188056
2, 42, 200, -nan, 0.690932, -nan, -0.0172611
2, 43, 200, -nan, 0.759962, -nan, 0.0191432
2, 44, 200, -nan, 0.663002, -nan, 0.0175194
2, 45, 200, -nan, 0.686428, -nan, 0.0231655
2, 46, 200, -nan, 0.615686, -nan, 0.0148744
2, 47, 200, -nan, 0.74452, -nan, 0.00990286
2, 48, 200, 0.125, 0.59799, -0.825925, 0.0178322
2, 49, 200, -nan, 0.71199, -nan, 0.0160543
2, 50, 200, -nan, 0.750636, -nan, 0.0208689
2, 51, 200, -nan, 0.817757, -nan, 0.00521707
2, 52, 200, -nan, 0.757524, -nan, 0.0134042
2, 53, 200, -nan, 0.743261, -nan, 0.0109071
2, 54, 200, -nan, 0.745472, -nan, 0.0262162
2, 55, 200, -nan, 0.642974, -nan, 0.0212436
2, 56, 200, -nan, 0.645306, -nan, 0.00673812
2, 57, 200, -nan, 0.644085, -nan, 0.0172345
2, 58, 200, -nan, 0.541099, -nan, 0.0178374
2, 59, 200, -nan, 0.808987, -nan, 0.0208132
2, 60, 200, -nan, 0.62839, -nan, 0.0175271
2, 61, 200, -nan, 0.740155, -nan, 0.0195534
