1, 0, 200, 63814.3, 60019.7, 0, 0, 0, 0, 0, 0, 63814.3, 60019.7
1, 1, 200, 15114, 11329.3, 0, 0, 0, 0, 0, 0, 15114, 11329.3
1, 2, 200, 14886.9, 9422.39, 0, 0, 0, 0, 0, 0, 14886.9, 9422.39
1, 3, 200, 35465, 12995.8, 0, 0, 0, 0, 0, 0, 35465, 12995.8
1, 4, 200, 8993.35, 8560.58, 0, 0, 0, 0, 0, 0, 8993.35, 8560.58
1, 5, 200, 8686.42, 9232.48, 0, 0, 0, 0, 0, 0, 8686.42, 9232.48
1, 6, 200, 6615.43, 8501.74, 0, 0, 0, 0, 0, 0, 6615.43, 8501.74
1, 7, 200, 695.577, 7341.13, 0, 0, 0, 0, 0, 0, 695.577, 7341.13
1, 8, 200, -nan, 6995.25, -nan, 0, -nan, 0, -nan, 0, -nan, 6995.25
1, 9, 200, 83204.5, 7835.22, 0, 0, 0, 0, 0, 0, 83204.5, 7835.22
1, 10, 200, -nan, 8026.97, -nan, 0, -nan, 0, -nan, 0, -nan, 8026.97
1, 11, 200, -nan, 7850.89, -nan, 0, -nan, 0, -nan, 0, -nan, 7850.89
1, 12, 200, -nan, 6829.89, -nan, 0, -nan, 0, -nan, 0, -nan, 6829.89
1, 13, 200, -nan, 6610.35, -nan, 0, -nan, 0, -nan, 0, -nan, 6610.35
1, 14, 200, -nan, 6825.24, -nan, 0, -nan, 0, -nan, 0, -nan, 6825.24
1, 15, 200, -nan, 7498.36, -nan, 0, -nan, 0, -nan, 0, -nan, 7498.36
1, 16, 200, 14212.8, 8212.99, 0, 0, 0, 0, 0, 0, 14212.8, 8212.99
1, 17, 200, -nan, 7172.04, -nan, 0, -nan, 0, -nan, 0, -nan, 7172.04
1, 18, 200, -nan, 6301.23, -nan, 0, -nan, 0, -nan, 0, -nan, 6301.23
1, 19, 200, -nan, 6997.47, -nan, 0, -nan, 0, -nan, 0, -nan, 6997.47
1, 20, 200, 591.097, 7764.96, 0, 0, 0, 0, 0, 0, 591.097, 7764.96
1, 21, 200, 653.482, 6741.24, 0, 0, 0, 0, 0, 0, 653.482, 6741.24
1, 22, 200, -nan, 6522.88, -nan, 0, -nan, 0, -nan, 0, -nan, 6522.88
1, 23, 200, 18332.9, 7160.25, 0, 0, 0, 0, 0, 0, 18332.9, 7160.25
1, 24, 200, -nan, 6420.39, -nan, 0, -nan, 0, -nan, 0, -nan, 6420.39
1, 25, 200, -nan, 7295.6, -nan, 0, -nan, 0, -nan, 0, -nan, 7295.6
1, 26, 200, -nan, 6824.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6824.51
1, 27, 200, 8454.32, 6982.14, 0, 0, 0, 0, 0, 0, 8454.32, 6982.14
1, 28, 200, -nan, 6094.2, -nan, 0, -nan, 0, -nan, 0, -nan, 6094.2
1, 29, 200, -nan, 6544.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6544.01
1, 30, 200, -nan, 6527.76, -nan, 0, -nan, 0, -nan, 0, -nan, 6527.76
1, 31, 200, 14550.9, 7097.71, 0, 0, 0, 0, 0, 0, 14550.9, 7097.71
1, 32, 200, -nan, 6354.24, -nan, 0, -nan, 0, -nan, 0, -nan, 6354.24
1, 33, 200, -nan, 5649.81, -nan, 0, -nan, 0, -nan, 0, -nan, 5649.81
1, 34, 200, 13060.5, 7408.85, 0, 0, 0, 0, 0, 0, 13060.5, 7408.85
1, 35, 200, -nan, 6245.74, -nan, 0, -nan, 0, -nan, 0, -nan, 6245.74
1, 36, 200, -nan, 6907.42, -nan, 0, -nan, 0, -nan, 0, -nan, 6907.42
1, 37, 200, -nan, 6075, -nan, 0, -nan, 0, -nan, 0, -nan, 6075
