1, 0, 200, 38180.3, 43066.2, 1652.11, 846.89, 4336.13, 4477.78, 4682.28, 1939.26, 36037.2, 41416.8
1, 1, 200, 17417.9, 41862.9, 486.171, 634.538, 1809.63, 4309.79, 1638.15, 1507.4, 16698, 40451.4
1, 2, 200, 11155.2, 3912.74, 461.92, 453.768, 2130.32, 1532.83, 1804.52, 1517.03, 9985.1, 2789.64
1, 3, 200, 12726.9, 33954, 400.303, 37.1935, 1593.66, 868.143, 1439.22, 671.731, 11987.6, 33751.8
1, 4, 200, 19678.6, 25896.4, 201.442, 45.1975, 1145.4, 990.782, 1233.95, 446.894, 19289.5, 25770.4
1, 5, 200, 17204.9, 11013.2, 159.043, 0, 794.369, 866.804, 1034.78, 1268.86, 17014.4, 10720.6
1, 6, 200, 8773.11, 8964.64, 77.6469, 17.5439, 788.772, 537.321, 696.255, 405.12, 8244.34, 8885.55
1, 7, 200, 11674.4, 8665.37, 175.564, 0, 557.038, 662.129, 1183.98, 210.645, 11376.8, 8597.68
1, 8, 200, 2058.45, 5268.68, 0, 11.158, 564.11, 783.816, 0.304164, 351.444, 1735.77, 5078.42
1, 9, 200, 8125.65, 10308.5, 119.651, 0, 668.471, 402.534, 639.229, 282.401, 7812.77, 10268.5
1, 10, 200, 697.441, 6458.78, 68.5395, 0, 411.702, 760.711, 115.436, 544.1, 526.063, 6247.05
1, 11, 200, -nan, 8056.79, -nan, 9.1086, -nan, 427.72, -nan, 138.216, -nan, 8019.27
1, 12, 200, -nan, 6706.24, -nan, 0, -nan, 511.395, -nan, 363.829, -nan, 6633.64
1, 13, 200, 872.383, 6800.93, 55.7902, 0, 389.78, 270.291, 396.723, 270.481, 644.881, 6768.43
1, 14, 200, 10160.3, 6836.52, 0, 0, 488.117, 192.329, 0, 327.271, 10123.1, 6804.99
1, 15, 200, -nan, 6277.1, -nan, 0, -nan, 442.804, -nan, 293.939, -nan, 6205.43
1, 16, 200, -nan, 6223.17, -nan, 0, -nan, 452.586, -nan, 120.201, -nan, 6185.48
1, 17, 200, 600.979, 6273.03, 136.658, 0, 305.407, 283.526, 225.378, 390.099, 413.799, 6216.47
1, 18, 200, 15569.6, 7144.33, 0, 0, 1435.87, 572.695, 0, 484.127, 15452.4, 7059.34
1, 19, 200, 469.859, 6185.96, 0, 0, 253.388, 472.905, 55.7902, 390.669, 390.657, 6116.81
1, 20, 200, -nan, 6936.92, -nan, 0, -nan, 617.493, -nan, 298.695, -nan, 6869.8
1, 21, 200, -nan, 5662.58, -nan, 22.7273, -nan, 535.748, -nan, 423.37, -nan, 5570.15
