1, 0, 200, 22971.5, 47376.7, 2453.22, 1732.03, 5581.72, 5364.71, 5418.37, 3253.23, 18313.3, 44587.4
1, 1, 200, 8869.33, 18007.3, 633.239, 1230.46, 2042.72, 3744.55, 1943.43, 2101.01, 7349.49, 15493.1
1, 2, 200, 17600.9, 22236.7, 1300.25, 505.955, 3200.55, 3490.18, 3127.41, 1344.24, 15576.9, 20577.1
1, 3, 200, 12989.5, 42942.4, 0, 0, 0, 2656.92, 1107.39, 1404.84, 12884, 42439.6
1, 4, 200, 18808.7, 51010.5, 138.82, 603.553, 1405.85, 3255.14, 1104.33, 1850.83, 18618.2, 50854.3
1, 5, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 6, 200, -nan, 2138.98, -nan, 0, -nan, 2045.3, -nan, 84.1854, -nan, 620.38
1, 7, 200, 19372.3, 66372.8, 345.345, 541.036, 1803.24, 4835, 1773.12, 1488.09, 19074.6, 65481.2
1, 8, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 9, 200, -nan, 2660.74, -nan, 0, -nan, 2152.09, -nan, 1311.72, -nan, 852.911
1, 10, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 11, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 12, 200, -nan, 2642.16, -nan, 623.109, -nan, 1840.23, -nan, 1135.76, -nan, 1384.31
1, 13, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 14, 200, -nan, 23386, -nan, 0, -nan, 0, -nan, 1499.13, -nan, 23337.9
1, 15, 200, 1882.88, 3802.85, 457.259, 759.82, 1182.11, 2422.62, 1057.75, 2475.32, 895.246, 1374.04
1, 16, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 17, 200, 1697.46, 3729.41, 499.317, 766.464, 903.667, 2283.9, 1245, 2317.99, 498.375, 1652.8
1, 18, 200, -nan, 27199.3, -nan, 0, -nan, 903.527, -nan, 1160.14, -nan, 26792.3
1, 19, 200, 7558.24, 20066.4, 173.716, 207.703, 1201.69, 1321.19, 889.908, 1514.82, 7022.29, 19552.9
1, 20, 200, 1616.09, 28554.7, 300.095, 144.937, 898.066, 1427.43, 1153.82, 1202.67, 599.487, 27638.9
1, 21, 200, 1443.79, 11026.7, 333.508, 289.264, 985.048, 1407.67, 644.826, 850.825, 760.274, 10434.2
1, 22, 200, 1835.25, 28173.3, 385.476, 330.971, 1277.91, 1068.54, 990.289, 1091.14, 765.276, 27515.1
1, 23, 200, 1256.38, 3273.18, 291.091, 434.812, 864.173, 1949.71, 745.687, 977.471, 421.036, 2401.64
1, 24, 200, 17245.4, 45236.8, 0, 0, 0, 1762.71, 1443.14, 229.409, 17132.7, 45007.5
1, 25, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 26, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 27, 200, 1332.64, 2890.27, 285.298, 217.406, 775.02, 708.578, 615.923, 1223.38, 837.311, 2502.15
1, 28, 200, 28501.9, 59446.5, 668.554, 0, 1657.95, 2681.32, 1390.44, 2828.43, 28300.6, 59318.6
1, 29, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 30, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 31, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 32, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 33, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 34, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 35, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 36, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 37, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 38, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
1, 39, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 40, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 41, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 42, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 43, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 44, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 45, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 46, 200, 17752.3, 16468.4, 1277.69, 1414.21, 2415.28, 4690.42, 2617.24, 3931.7, 17165.4, 15223.3
2, 47, 200, 1835.17, 3568.24, 528.495, 623.109, 1267.64, 2071.25, 1139.54, 2628.27, 397.423, 1070.63
2, 48, 200, -nan, 31078.1, -nan, 0, -nan, 720.414, -nan, 2088.63, -nan, 30394.7
2, 49, 200, 10015, 14759.7, 0, 0, 1100.55, 1226.88, 544.227, 2235.65, 9871.51, 14297.6
2, 50, 200, 2634.71, 3783.16, 790.119, 0, 1748.73, 1801.86, 1596.2, 1250.27, 813.995, 3082.59
2, 51, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 52, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 53, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 54, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 55, 200, 1425.51, 3073.89, 387.354, 446.322, 918.285, 1123.78, 856.308, 1231.88, 536.816, 2543.46
2, 56, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 57, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 58, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 59, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 60, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 61, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 62, 200, -nan, 1301.38, -nan, 0, -nan, 0, -nan, 924.791, -nan, 915.622
2, 63, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 64, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 65, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 66, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 67, 200, 29658.8, 65482.1, 0, 0, 1608.99, 2449.49, 1347.22, 932.344, 29476.8, 65429.6
2, 68, 200, 39227.8, 48873.8, 825.897, 707.107, 2694.18, 2230.08, 2328.42, 2333.71, 38869, 48299.9
2, 69, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 70, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 71, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 72, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 73, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
