1, 0, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00856894
1, 1, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00951502
1, 2, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00900157
1, 3, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00912908
1, 4, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00914122
1, 5, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00911386
1, 6, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00797229
1, 7, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00848366
1, 8, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00738972
1, 9, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00708376
1, 10, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00611871
1, 11, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00599548
1, 12, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00561088
1, 13, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00540256
1, 14, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0051166
1, 15, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00496604
1, 16, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00444635
1, 17, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00456524
1, 18, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00402725
1, 19, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00337316
1, 20, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00296892
1, 21, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00267194
1, 22, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00221407
1, 23, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00165797
1, 24, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00159579
1, 25, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000771965
1, 26, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000564947
1, 27, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000325269
1, 28, 0, 0, 0, 41000, -nan, -nan, -nan, 7.65453e-05
1, 29, 0, 0, 0, 41000, -nan, -nan, -nan, 0.000640305
1, 30, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00146716
1, 31, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00237352
1, 32, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00278525
1, 33, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00268953
1, 34, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00278787
1, 35, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0024313
1, 36, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00286687
1, 37, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00278099
1, 38, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00335368
1, 39, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00364746
2, 40, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00396241
2, 41, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00488596
2, 42, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00530696
2, 43, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00574172
2, 44, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00633141
2, 45, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00676087
2, 46, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00760311
2, 47, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00690691
2, 48, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00732262
2, 49, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0078416
2, 50, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00757239
2, 51, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00785651
2, 52, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00744173
2, 53, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00688799
2, 54, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0079551
2, 55, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00768046
2, 56, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0079967
2, 57, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00858108
2, 58, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0101016
2, 59, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0100248
2, 60, 0, 0, 0, 41000, -nan, -nan, -nan, 0.00978207
2, 61, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0102662
2, 62, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0114617
2, 63, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0108318
2, 64, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0113665
2, 65, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0115697
2, 66, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0122491
2, 67, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0122152
2, 68, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0120121
2, 69, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0120157
2, 70, 0, 0, 0, 41000, -nan, -nan, -nan, 0.012057
2, 71, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0126303
2, 72, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0127698
2, 73, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0128988
2, 74, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0132217
2, 75, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0145127
2, 76, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0148884
2, 77, 0, 0, 0, 41000, -nan, -nan, -nan, 0.014958
2, 78, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0150647
2, 79, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0159533
3, 80, 0, 0, 0, 41000, -nan, -nan, -nan, 0.015034
3, 81, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0150726
3, 82, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0152249
3, 83, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0155676
3, 84, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0159126
3, 85, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0171659
3, 86, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0175964
3, 87, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0173611
3, 88, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0170198
3, 89, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0181616
3, 90, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0189379
3, 91, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0194068
3, 92, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0191219
3, 93, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0196936
3, 94, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0197788
3, 95, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0202773
3, 96, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0204472
3, 97, 0, 0, 0, 41000, -nan, -nan, -nan, 0.01939
3, 98, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0208349
3, 99, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0211543
3, 100, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0204203
3, 101, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215808
3, 102, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0219878
3, 103, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0225609
3, 104, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0217246
3, 105, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0223087
3, 106, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0217243
3, 107, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0226952
3, 108, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231474
3, 109, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0223399
3, 110, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231
3, 111, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231524
3, 112, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231209
3, 113, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0234789
3, 114, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0232065
3, 115, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0237375
3, 116, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0239448
3, 117, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0230852
3, 118, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0232229
3, 119, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0235942
4, 120, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0240656
4, 121, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241288
4, 122, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0247413
4, 123, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0238923
4, 124, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0243518
4, 125, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0252227
4, 126, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0248367
4, 127, 0, 0, 0, 41000, -nan, -nan, -nan, 0.026762
4, 128, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0259831
4, 129, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0269929
4, 130, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0270275
4, 131, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0274588
4, 132, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0273564
4, 133, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0284474
4, 134, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0279938
4, 135, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0282138
4, 136, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0285933
4, 137, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0283551
4, 138, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0281319
4, 139, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0283659
4, 140, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0281371
4, 141, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0283007
4, 142, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0286361
4, 143, 0, 0, 0, 41000, -nan, -nan, -nan, 0.027609
4, 144, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0270717
4, 145, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0271676
4, 146, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0262104
4, 147, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0269956
4, 148, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0267262
4, 149, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0272879
4, 150, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0261875
4, 151, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0257823
4, 152, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0253487
4, 153, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0251227
4, 154, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0247584
4, 155, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0251436
4, 156, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0260347
4, 157, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0261854
4, 158, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0265298
4, 159, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0279097
5, 160, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0285667
5, 161, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0288027
5, 162, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0291143
5, 163, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0293014
5, 164, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0295324
5, 165, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0285747
5, 166, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0296878
5, 167, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0293241
5, 168, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0297547
5, 169, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0288961
5, 170, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0275165
5, 171, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0291904
5, 172, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0296025
5, 173, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0294851
5, 174, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0295413
5, 175, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0295183
5, 176, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0294811
5, 177, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0295596
5, 178, 0, 0, 0, 41000, -nan, -nan, -nan, 0.030386
5, 179, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0298832
5, 180, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0303565
5, 181, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0301275
5, 182, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0306235
5, 183, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0302912
5, 184, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0306127
5, 185, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0305688
5, 186, 0, 0, 0, 41000, -nan, -nan, -nan, 0.031041
5, 187, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0312074
5, 188, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0319628
5, 189, 0, 0, 0, 41000, -nan, -nan, -nan, 0.031517
5, 190, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0316506
5, 191, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0311669
5, 192, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0320276
5, 193, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0321025
5, 194, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0316419
5, 195, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0318717
5, 196, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0327732
5, 197, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0335533
5, 198, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0338478
5, 199, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0336127
6, 200, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0326077
6, 201, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0323589
6, 202, 0, 0, 0, 41000, -nan, -nan, -nan, 0.032508
6, 203, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0324415
6, 204, 0, 0, 0, 41000, -nan, -nan, -nan, 0.032831
6, 205, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0331168
6, 206, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0331736
6, 207, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0331033
6, 208, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0328905
6, 209, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0338795
6, 210, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0329111
6, 211, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0334456
6, 212, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0333399
6, 213, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0336185
6, 214, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0338175
6, 215, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0308768
