1, 0, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00420634
1, 1, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00459558
1, 2, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00469399
1, 3, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00549966
1, 4, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00617024
1, 5, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00602726
1, 6, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00577313
1, 7, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00546801
1, 8, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00523295
1, 9, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00540825
1, 10, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00534828
1, 11, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00529019
1, 12, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00526028
1, 13, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00512001
1, 14, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00504431
1, 15, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00497481
1, 16, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00506614
1, 17, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00510126
1, 18, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00539318
1, 19, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00550736
1, 20, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00541168
1, 21, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00561889
1, 22, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00587556
1, 23, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0058395
1, 24, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0057811
1, 25, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00538072
1, 26, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0049066
1, 27, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00500893
1, 28, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00482813
1, 29, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00444804
1, 30, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00414385
1, 31, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00415571
1, 32, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00445844
1, 33, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00459113
1, 34, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00459662
1, 35, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00448643
1, 36, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00513976
1, 37, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00521504
1, 38, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00468186
1, 39, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359316
2, 40, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00335449
2, 41, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00407506
2, 42, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00474183
2, 43, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0043187
2, 44, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00375196
2, 45, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00319745
2, 46, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00230977
2, 47, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00169584
2, 48, 0, 0, 0, 41000, -nan, -nan, -nan, -0.000836092
2, 49, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00112714
